d (m),V_sample
0.001,0.015307461134217305
0.002,0.05296455774494637
0.003,0.0954988813250936
0.004,0.12872221393946942
0.005,0.14706868990090605
0.006,0.14568498555731094
0.007,0.11734642404952422
0.008,0.055214738129339386
0.009000000000000001,0.0
0.010000000000000002,0.0
0.011,0.0
0.012,0.0
0.013000000000000001,0.0
0.014000000000000002,0.0
0.015,0.0
0.016,0.0
0.017,0.0
0.018000000000000002,0.0
0.019000000000000003,0.0
0.02,0.0
0.021,0.0
0.022000000000000002,0.0
0.023,0.0
0.024,0.0
