d (m),Contrast V
0.001,0.01598810351620648
0.002,0.06254729566751988
0.003,0.1356418597632411
0.004,0.22899382643270577
0.005,0.3346541816256783
0.006,0.44371753180836637
0.007,0.5471118948765085
0.008,0.6363890955084658
0.009000000000000001,0.7044424170470783
0.010000000000000002,0.7460864697460258
0.011,0.758448730800446
0.012,0.7411413391663412
0.013000000000000001,0.6962034925432681
0.014000000000000002,0.6278269729797572
0.015,0.5418977045586602
0.016,0.4454028370400279
0.017,0.34576409929581337
0.018000000000000002,0.25016310194360025
0.019000000000000003,0.164922581660486
0.02,0.09499964265687592
0.021,0.04363386040443921
0.022000000000000002,0.012176170216340633
0.023,0.00010560554627962585
0.024,0.005222151085358433
0.025,0.023987135480659033
0.026000000000000002,0.051969343344759285
0.027000000000000003,0.08434658482275802
0.028,0.11640949367726586
0.029,0.14401691208663092
0.030000000000000002,0.16395986453734396
0.031,0.17420282085302433
0.032,0.173985313130459
0.033,0.16378239295437744
0.034,0.14513723710059548
0.035,0.12039190506753669
0.036000000000000004,0.09235157921450496
0.037000000000000005,0.06392274344800732
0.038,0.03776632409627706
0.039,0.016002970422617408
0.04,1.255855802950961e-16
0.041,0.009740934782169943
0.042,0.013588438286584464
0.043000000000000003,0.012683435521924335
0.044000000000000004,0.00875502483701231
0.045,0.0038752495483153205
0.046,0.00018358240206942084
0.047,0.0
0.048,0.0036554104350429648
0.049,0.013172676313656005
0.05,0.028304689814661926
0.051000000000000004,0.048450317828276
0.052000000000000005,0.07233990288898966
0.053000000000000005,0.09818196836117006
0.054,0.12386632118502998
0.055,0.1471991526441574
0.056,0.16614299599871132
0.057,0.1790347597655767
0.058,0.18475836482247407
0.059000000000000004,0.18285430159893212
0.060000000000000005,0.1735559639726898
0.061,0.15775101584339593
0.062,0.13687434854476827
0.063,0.11274648046888629
0.064,0.08737676569465974
0.065,0.06275396977322513
0.066,0.040647366801484695
0.067,0.022439536529735696
0.068,0.009007800118105326
0.069,0.0006652741242480069
0.07,0.0
0.07100000000000001,0.0
0.07200000000000001,0.0013533247044783116
0.07300000000000001,0.006576115805988859
0.074,0.012033433695389676
0.075,0.016432236828158732
0.076,0.018735579595687394
0.077,0.018272382327115935
0.078,0.014799707869171869
0.079,0.008512267034879235
0.08,1.8222552477207111e-16
0.081,0.00983958769183334
0.082,0.019922757159924687
0.083,0.029119509485721028
0.084,0.036395513213613596
0.085,0.04093955890563332
0.08600000000000001,0.04226220795994416
0.08700000000000001,0.04025494503943724
0.08800000000000001,0.03520388350298222
0.089,0.027757352646905674
0.09,0.018851912027208165
0.091,0.009605913346860234
0.092,0.0011931732503811213
0.093,0.0
0.094,0.0
0.095,0.0
0.096,0.0
0.097,0.0012528134574582893
0.098,0.011212608776964532
0.099,0.02332720257571785
