d (m),V_sample
0.001,0.024858665280742473
0.002,0.06037636955248122
0.003,0.11859094915393979
0.004,0.1850883835026151
0.005,0.24570876284521204
0.006,0.3010782432270057
0.007,0.3408904859274218
0.008,0.35619939488052255
0.009000000000000001,0.34886157437423215
0.010000000000000002,0.3222422550866267
0.011,0.28340426913168204
0.012,0.23718276173262748
0.013000000000000001,0.18344982682633815
0.014000000000000002,0.12364034032853743
0.015,0.07065071943950144
0.016,0.030351230628395884
0.017,0.03329795292372136
0.018000000000000002,0.038399998936334445
0.019000000000000003,0.042409802010248736
0.02,0.03453124991075733
0.021,0.013162287736637529
0.025,0.01382735799735788
0.026000000000000002,0.02900695035227403
0.027000000000000003,0.052458267853836
0.028,0.07589894164069243
0.029,0.10105063343031374
0.030000000000000002,0.12406857883712676
0.031,0.14257196980940268
0.032,0.15476534917473023
0.033,0.1561106706463861
0.034,0.14420298895010747
0.035,0.1197877827933
0.036000000000000004,0.08862697043578081
0.037000000000000005,0.057284706384244925
0.038,0.03123213526310565
0.039,0.01218094112312904
0.054,0.01605205725381718
0.055,0.0286497447236057
0.056,0.04305767448367547
0.057,0.056232786328939084
0.058,0.06775155584988432
0.059000000000000004,0.07741565816507678
0.060000000000000005,0.08422064163044561
0.061,0.08714798886172309
0.062,0.08395158969468818
0.063,0.07623032568129187
0.064,0.0641881455391472
0.065,0.049949259182121813
0.066,0.035231620526639855
0.067,0.02078852781944939
0.075,0.011241362533629975
0.076,0.011877866488854758
0.077,0.010459335180392505
